fiscal_year,Customer,SubCustomer,CanadaSector,obligatedAmount,numberOfActions,NumberOfContracts
2004,GSA,GSA,Other Services,0.0000,0,1
2004,Other Agencies,All other Customers,"Weapons, Ammunition and Missiles",6645.0000,1,1
2004,Other Agencies,Commerce,Air,42733.1400,1,1
2004,Other Agencies,Commerce,Other Services,237491.7900,8,6
2004,Other Agencies,Education,Other R&D and Knowledge Based,15638.7000,3,2
2004,Other Agencies,EQUAL EMPLOYMENT OPPORTUNITY COMMISSION,C4ISR,3935.9500,1,1
2004,Other Agencies,FEDERAL ELECTION COMMISSION,C4ISR,4871.0000,1,1
2004,Other Agencies,Interior,"Other Facilities, Construction, Manufacturing and Testing",4750354.8667,261,221
2003,DHS,COAST GUARD,"Other Facilities, Construction, Manufacturing and Testing",0.0000,0,1
2003,DHS,COAST GUARD,Sea,3048083.0000,5,5
2003,GSA,GSA,C4ISR,3571946.6100,50,59
2003,GSA,GSA,Land,17289.0000,3,3
2003,HHS,HHS,Other Products,7613774.0000,3,3
2003,NASA,NASA,Other Products,15931.0400,1,1
2003,NASA,NASA,Space,2238793.0000,6,3
2003,Other Agencies,Agriculture,NULL,4000.0000,1,1
2003,Other Agencies,Agriculture,"Other Facilities, Construction, Manufacturing and Testing",1201745.0000,15,14
2003,Other Agencies,Agriculture,Other R&D and Knowledge Based,92826.0000,2,2
2003,Other Agencies,BROADCASTING BOARD OF GOVERNORS,C4ISR,252457.0000,1,1
2003,Other Agencies,Commerce,Other R&D and Knowledge Based,686038.0000,21,13
2003,Other Agencies,EPA,Other R&D and Knowledge Based,267852.0000,8,10
2003,Other Agencies,EPA,Other Services,0.0000,1,1
2003,Other Agencies,Justice,"Other Facilities, Construction, Manufacturing and Testing",15884429.0000,604,604
2003,Other Agencies,OFFICE OF PERSONNEL MANAGEMENT,Other R&D and Knowledge Based,127000.0000,2,2
2003,Other Agencies,Transportation,Other R&D and Knowledge Based,2389759.0000,8,3
2003,Other Agencies,Treasury,"Weapons, Ammunition and Missiles",815300.0000,19,19
2003,Other Agencies,VA,C4ISR,428495.0000,6,7
2003,State and IAP,State,Land,467315.0000,12,13
2004,Defense,Air Force,Other R&D and Knowledge Based,790362.0000,12,13
2004,Defense,Air Force,"Weapons, Ammunition and Missiles",104194.0000,4,4
2004,Defense,Army,Land,91519500.7600,140,109
2004,Defense,DLA,Land,12226002.0000,126,129
2004,Defense,Navy,Other R&D and Knowledge Based,6685496.0000,32,28
2004,Defense,Navy,Other Services,2109020.0000,11,9
2004,Defense,Other DoD,Land,1125000.0000,1,1
2004,Defense,Other DoD,Other Products,26634.0000,1,1
2004,Defense,Other DoD,Sea,149096.0000,2,2
2004,DHS,COAST GUARD,Air,4374378.0000,61,23
2004,DHS,TSA,"Weapons, Ammunition and Missiles",254725.0000,2,2
2004,Energy,Energy,"Weapons, Ammunition and Missiles",80577.0000,2,3
2004,HHS,HHS,NULL,30756673.4810,30,15
2004,HHS,HHS,"Other Facilities, Construction, Manufacturing and Testing",1093130.1593,40,34
2004,HHS,HHS,Other R&D and Knowledge Based,20956904.0000,81,54
2004,HHS,HHS,Other Services,4494954.0000,10,5
2004,NASA,NASA,"Other Facilities, Construction, Manufacturing and Testing",272448.9200,16,16
2004,Other Agencies,Agriculture,Air,676883.0000,3,4
2004,Other Agencies,Agriculture,C4ISR,1479993.6000,52,53
2004,Other Agencies,Agriculture,Other Products,370626.3100,5,5
2004,Other Agencies,Commerce,NULL,156020.3500,25,22
2004,Other Agencies,CORPORATION FOR NATIONAL AND COMMUNITY SERVICE,C4ISR,511190.0000,4,2
2004,Other Agencies,Interior,"Weapons, Ammunition and Missiles",2639.8000,1,1
2004,Other Agencies,SECURITIES AND EXCHANGE COMMISSION,NULL,1380.6000,1,1
2004,Other Agencies,SECURITIES AND EXCHANGE COMMISSION,Other R&D and Knowledge Based,238000.0000,5,2
2004,Other Agencies,Transportation,Air,13250000.0000,1,1
2003,DHS,Other DHS,"Weapons, Ammunition and Missiles",-404166.0000,10,9
2003,NASA,NASA,Air,30140.0000,2,1
2003,NASA,NASA,C4ISR,20046799.0000,22,16
2003,Other Agencies,Commerce,Other Products,1538971.0000,5,4
2003,Other Agencies,Commerce,Sea,708256.0000,11,6
2003,Other Agencies,Exec Office,"Other Facilities, Construction, Manufacturing and Testing",27000.0000,1,1
2003,Other Agencies,Interior,NULL,105000.0000,0,4
2003,Other Agencies,Justice,C4ISR,21128542.0000,143,152
2003,Other Agencies,Justice,Other Services,63000.0000,1,1
2003,Other Agencies,SMITHSONIAN INSTITUTION,Other R&D and Knowledge Based,481000.0000,3,3
2003,Other Agencies,Transportation,"Other Facilities, Construction, Manufacturing and Testing",207699.0000,5,6
2003,Other Agencies,Treasury,Other Products,174408.0000,4,4
2004,Defense,Navy,"Other Facilities, Construction, Manufacturing and Testing",5433994.0000,122,108
2004,Defense,Navy,Sea,18253600.0000,48,40
2004,Defense,Other DoD,Other R&D and Knowledge Based,1554749.0000,4,3
2004,DHS,CBP,NULL,21331.3400,1,1
2004,DHS,COAST GUARD,Other Products,159836.2400,4,5
2004,DHS,ICE,Other Services,36133.0000,1,1
2004,DHS,OPO,C4ISR,584025.8400,2,2
2004,Energy,Energy,Other Products,90143.0000,3,3
2004,GSA,GSA,Air,0.0000,0,1
2004,NASA,NASA,NULL,454015.1500,54,50
2004,Other Agencies,Education,Other Products,4293.0100,1,1
2004,Other Agencies,Interior,Other Products,803437.7300,47,43
2004,Other Agencies,Justice,"Weapons, Ammunition and Missiles",169959.0000,2,2
2004,Other Agencies,Labor,NULL,6174.0000,1,1
2004,Other Agencies,NUCLEAR REGULATORY COMMISSION,Other R&D and Knowledge Based,35970.0000,1,1
2004,Other Agencies,Transportation,C4ISR,6384101.0300,9,5
2004,Other Agencies,Treasury,Land,36117.4900,1,1
2004,Other Agencies,Treasury,Other R&D and Knowledge Based,266551.0000,6,3
2005,Defense,Air Force,C4ISR,15401447.0000,98,86
2005,Defense,Air Force,Other Services,122342.0000,7,6
2005,Defense,DLA,C4ISR,3608517.0000,246,226
2005,Defense,Navy,Air,34262869.6300,190,174
2005,DHS,COAST GUARD,Other R&D and Knowledge Based,10500.0000,1,1
2005,DHS,Other DHS,"Weapons, Ammunition and Missiles",453176.0000,10,9
2005,DHS,TSA,NULL,4239.0000,1,1
2005,DHS,TSA,Land,90271.0000,1,1
2005,Energy,Energy,NULL,31475.3000,4,4
2005,Energy,Energy,Land,50191.1500,1,1
2005,Energy,Energy,Other R&D and Knowledge Based,158789.1600,10,8
2005,GSA,GSA,Land,39414.2400,8,9
2005,NASA,NASA,Other Products,-42.3200,1,1
2005,NASA,NASA,Sea,78335.6700,1,1
2005,Other Agencies,NULL,Other Products,10360616.0000,7990,23
2005,Other Agencies,Agriculture,"Other Facilities, Construction, Manufacturing and Testing",493728.2800,29,22
2005,Other Agencies,All other Customers,"Other Facilities, Construction, Manufacturing and Testing",187511.0900,15,14
2005,Other Agencies,Archives,Other Products,3624.0000,1,1
2005,Other Agencies,BROADCASTING BOARD OF GOVERNORS,Other Products,16248.0000,2,1
2003,Defense,DLA,"Weapons, Ammunition and Missiles",440731.0000,8,10
2003,Defense,Navy,Other R&D and Knowledge Based,5214112.0000,24,21
2003,Defense,Other DoD,Air,791593.0000,3,3
2003,DHS,CBP,"Weapons, Ammunition and Missiles",26196.0000,14,15
2003,DHS,COAST GUARD,Other Services,305732.0000,9,10
2003,DHS,ICE,Land,4397.0000,1,1
2003,Energy,Energy,C4ISR,2142403.0000,16,16
2003,Other Agencies,Interior,C4ISR,5100079.6700,54,45
2003,Other Agencies,Interior,Other Services,117553.0000,10,8
2003,Other Agencies,Justice,Land,48000.0000,7,8
2003,Other Agencies,NATIONAL SCIENCE FOUNDATION,Other R&D and Knowledge Based,115780.0000,1,1
2003,Other Agencies,Treasury,C4ISR,246012.0000,6,7
2003,State and IAP,State,"Weapons, Ammunition and Missiles",937500.0000,4,4
2004,Defense,Air Force,Other Products,462826.0000,7,7
2004,Defense,Army,"Other Facilities, Construction, Manufacturing and Testing",29541136.0000,364,314
2004,Defense,Army,Sea,17714.0000,3,2
2004,Defense,DLA,Sea,779077.0000,10,10
2004,Defense,Other DoD,NULL,34601.9200,2,2
2004,Defense,Other DoD,Air,8752318.0000,2,3
2004,DHS,CBP,"Other Facilities, Construction, Manufacturing and Testing",66765.0200,3,2
2004,DHS,COAST GUARD,C4ISR,2864988.9700,25,11
2004,DHS,COAST GUARD,"Other Facilities, Construction, Manufacturing and Testing",460379.3200,11,12
2004,DHS,COAST GUARD,Other Services,9115.0000,2,1
2004,Energy,Energy,C4ISR,1811186.0000,30,28
2004,Other Agencies,All other Customers,Land,4126.0000,1,1
2004,Other Agencies,Commerce,C4ISR,2320239.6200,74,62
2004,Other Agencies,CONSUMER PRODUCT SAFETY COMMISSION,"Other Facilities, Construction, Manufacturing and Testing",9953.8000,2,2
2004,Other Agencies,CORPORATION FOR NATIONAL AND COMMUNITY SERVICE,"Other Facilities, Construction, Manufacturing and Testing",8738.9800,2,2
2004,Other Agencies,Education,"Other Facilities, Construction, Manufacturing and Testing",69575.6400,1,1
2004,Other Agencies,EPA,C4ISR,0.0000,3,3
2004,Other Agencies,Interior,C4ISR,4299826.2700,156,134
2004,Other Agencies,Justice,NULL,35050.7500,4,4
2004,Other Agencies,Justice,Other Products,315978.9500,13,14
2004,Other Agencies,Transportation,Land,4813.0000,3,3
2004,Other Agencies,Transportation,Other Products,115900.0000,1,2
2004,Other Agencies,Transportation,Sea,84674.8100,1,1
2004,Other Agencies,VA,Other Services,30000.0000,1,1
2004,State and IAP,State,NULL,37410.2400,3,3
2004,State and IAP,USAID,C4ISR,138318.0000,2,2
2005,Defense,Air Force,Land,1141069.0000,22,20
2005,Defense,Air Force,Other R&D and Knowledge Based,457513.0000,7,7
2005,Defense,Army,Air,36134746.0000,100,93
2005,Defense,Army,Sea,185662.0000,7,5
2005,Defense,DLA,Air,29666908.0000,286,299
2005,Defense,DLA,Land,7120351.0000,391,395
2005,Defense,DLA,Sea,689178.0000,25,25
2005,Defense,Other DoD,Other Products,734171.5200,9,7
2005,Defense,Other DoD,Sea,22500.0000,1,1
2005,DHS,CBP,"Other Facilities, Construction, Manufacturing and Testing",350004.2500,14,14
2003,DHS,COAST GUARD,Other Products,243630.0000,3,5
2003,DHS,ICE,C4ISR,18051.0000,3,2
2003,DHS,Other DHS,C4ISR,30949.0000,1,1
2003,Energy,Energy,Other Products,469444.0000,5,5
2003,HHS,HHS,"Other Facilities, Construction, Manufacturing and Testing",758935.0000,14,15
2003,Other Agencies,HUD,"Other Facilities, Construction, Manufacturing and Testing",29000.0000,1,1
2003,Other Agencies,Interior,Air,423422.0000,3,2
2003,Other Agencies,Interior,Other Products,1373185.0000,9,6
2003,Other Agencies,NUCLEAR REGULATORY COMMISSION,Other R&D and Knowledge Based,32700.0000,1,1
2003,Other Agencies,Treasury,Land,61400.0000,1,2
2004,Defense,Air Force,C4ISR,19142740.0000,69,56
2004,Defense,Air Force,Other Services,9995.0000,1,1
2004,Defense,Navy,Air,92411925.2600,148,143
2004,DHS,COAST GUARD,NULL,4922.0000,4,4
2004,DHS,COAST GUARD,Other R&D and Knowledge Based,120660.0000,3,3
2004,DHS,OPO,"Other Facilities, Construction, Manufacturing and Testing",397.7600,2,1
2004,DHS,Other DHS,"Weapons, Ammunition and Missiles",197135.0000,5,5
2004,Energy,Energy,NULL,0.0000,1,1
2004,GSA,GSA,Sea,0.0000,0,1
2004,NASA,NASA,Air,34100.0000,3,2
2004,NASA,NASA,Other Products,50468.0000,1,1
2004,Other Agencies,NULL,Other Products,2557013.0000,69,5
2004,Other Agencies,Agriculture,"Other Facilities, Construction, Manufacturing and Testing",727723.1500,32,26
2004,Other Agencies,All other Customers,"Other Facilities, Construction, Manufacturing and Testing",29405.8300,4,4
2004,Other Agencies,BROADCASTING BOARD OF GOVERNORS,Other Products,5500.0000,1,1
2004,Other Agencies,Commerce,Land,4065.0000,1,1
2004,Other Agencies,Commerce,Other Products,45223.0000,8,7
2004,Other Agencies,Commerce,Sea,3519079.1300,28,15
2004,Other Agencies,Education,NULL,28463.9400,2,2
2004,Other Agencies,Interior,NULL,136283.9900,37,21
2004,Other Agencies,Interior,Land,608798.3000,3,3
2004,Other Agencies,Justice,C4ISR,25674275.0000,161,167
2004,Other Agencies,SMITHSONIAN INSTITUTION,Other R&D and Knowledge Based,25150.0000,7,7
2004,Other Agencies,Transportation,"Other Facilities, Construction, Manufacturing and Testing",577614.7500,5,5
2004,Other Agencies,Treasury,Other Products,36581156.0000,25,19
2004,State and IAP,State,"Other Facilities, Construction, Manufacturing and Testing",5901593.2509,39,36
2004,State and IAP,State,Other Services,572273.3800,3,3
2005,Defense,Air Force,"Weapons, Ammunition and Missiles",28189.0000,5,3
2005,Defense,Navy,Sea,21402687.0000,143,116
2005,Defense,Other DoD,Other R&D and Knowledge Based,1236260.0000,3,3
2005,DHS,ICE,"Other Facilities, Construction, Manufacturing and Testing",14541.5100,5,4
2005,DHS,OPO,C4ISR,915756.2100,4,4
2005,DHS,Other DHS,"Other Facilities, Construction, Manufacturing and Testing",137667.0200,10,10
2005,DHS,TSA,Other Products,44293.5800,1,2
2005,Energy,Energy,Other Products,563043.7200,7,8
2005,HHS,HHS,NULL,7610263.8200,40,36
2005,NASA,NASA,NULL,339104.5300,45,42
2003,Defense,DLA,Sea,748800.0000,12,13
2003,Defense,Other DoD,C4ISR,401591.0000,12,13
2003,DHS,CBP,C4ISR,266182.0000,5,5
2003,DHS,COAST GUARD,C4ISR,5501714.0000,26,13
2003,DHS,Other DHS,Other Products,229262.0000,3,3
2003,Other Agencies,Commerce,"Other Facilities, Construction, Manufacturing and Testing",2298467.0000,20,19
2003,Other Agencies,Commerce,Other Services,60750.0000,2,1
2003,Other Agencies,HUD,Other R&D and Knowledge Based,80000.0000,1,1
2003,Other Agencies,Justice,Other Products,162000.0000,12,13
2003,Other Agencies,Labor,Other R&D and Knowledge Based,2135342.0000,4,2
2003,Other Agencies,SMITHSONIAN INSTITUTION,"Other Facilities, Construction, Manufacturing and Testing",0.0000,0,2
2003,Other Agencies,Treasury,Other Services,26000.0000,1,1
2004,Defense,Air Force,Air,98371093.0000,121,105
2004,Defense,Air Force,Land,191383.0000,4,4
2004,Defense,Army,Air,18918635.0000,58,47
2004,Defense,DLA,Air,32606802.0000,146,158
2004,DHS,CBP,C4ISR,41694.0000,1,1
2004,DHS,CBP,"Weapons, Ammunition and Missiles",40924.0000,14,14
2004,GSA,GSA,"Other Facilities, Construction, Manufacturing and Testing",10717333.6176,609,583
2004,NASA,NASA,Other R&D and Knowledge Based,244241.0000,5,4
2004,NASA,NASA,Other Services,46600.0000,1,1
2004,Other Agencies,Commerce,"Other Facilities, Construction, Manufacturing and Testing",1974119.2300,79,66
2004,Other Agencies,EPA,"Other Facilities, Construction, Manufacturing and Testing",0.0000,2,2
2004,Other Agencies,Interior,Other Services,148020.9300,15,14
2004,Other Agencies,INTERNATIONAL TRADE COMMISSION,C4ISR,8280.0000,1,1
2004,Other Agencies,Justice,Land,143000.0000,5,5
2004,Other Agencies,Justice,Other R&D and Knowledge Based,98094.3000,3,3
2004,Other Agencies,MERIT SYSTEMS PROTECTION BOARD,"Other Facilities, Construction, Manufacturing and Testing",70765.9600,1,1
2004,Other Agencies,OFFICE OF PERSONNEL MANAGEMENT,C4ISR,16800.0000,1,1
2004,Other Agencies,Treasury,C4ISR,172243.7808,7,8
2004,Other Agencies,Treasury,"Other Facilities, Construction, Manufacturing and Testing",288986.5200,10,9
2004,Other Agencies,VA,C4ISR,952170.4000,5,6
2004,State and IAP,State,Other Products,137561.0000,4,4
2005,Defense,Air Force,Other Products,826019.0000,49,38
2005,Defense,Other DoD,Air,2133661.0000,10,8
2005,DHS,CBP,"Weapons, Ammunition and Missiles",78738.0000,22,23
2005,DHS,COAST GUARD,"Other Facilities, Construction, Manufacturing and Testing",587729.4100,18,17
2005,DHS,COAST GUARD,Sea,614275.0800,21,20
2005,DHS,ICE,Other R&D and Knowledge Based,175520.0000,1,2
2005,Energy,Energy,C4ISR,1160009.2900,42,37
2005,Energy,Energy,Other Services,14037.0000,1,1
2005,GSA,GSA,"Other Facilities, Construction, Manufacturing and Testing",7172468.4700,648,640
2005,HHS,HHS,C4ISR,1143529.2100,39,34
2005,HHS,HHS,Other Services,2000584.5300,9,5
2005,NASA,NASA,Other Services,119246.0000,2,1
2005,Other Agencies,Agriculture,NULL,30766.0200,7,7
2002,Other Agencies,Treasury,"Other Facilities, Construction, Manufacturing and Testing",20681000.0000,15,12
2002,Other Agencies,Treasury,Other R&D and Knowledge Based,565000.0000,4,3
2002,Other Agencies,VA,C4ISR,28000.0000,1,1
2002,State and IAP,State,C4ISR,615090.0000,18,16
2003,Defense,Air Force,"Weapons, Ammunition and Missiles",1027950.0000,21,20
2003,Defense,Army,Other Products,59893107.0000,56,50
2003,Defense,DLA,Other Products,46864103.0000,54,67
2003,Defense,Navy,Other Services,1866216.0000,11,5
2003,DHS,ICE,"Other Facilities, Construction, Manufacturing and Testing",6161.0000,1,1
2003,Energy,Energy,"Other Facilities, Construction, Manufacturing and Testing",186347.0000,2,2
2003,Energy,Energy,Other R&D and Knowledge Based,170000.0000,3,3
2003,GSA,GSA,"Other Facilities, Construction, Manufacturing and Testing",12558474.9200,581,520
2003,HHS,HHS,Other R&D and Knowledge Based,16126602.3800,74,47
2003,HHS,HHS,Other Services,1445233.0000,11,6
2003,NASA,NASA,"Other Facilities, Construction, Manufacturing and Testing",271487.0000,6,6
2003,Other Agencies,Agriculture,C4ISR,4796248.0000,42,45
2003,Other Agencies,Commerce,Air,1969613.0000,4,4
2003,Other Agencies,Interior,"Other Facilities, Construction, Manufacturing and Testing",2573153.8000,72,59
2003,Other Agencies,Interior,Other R&D and Knowledge Based,1553442.0000,41,33
2003,Other Agencies,Interior,Sea,3057395.0000,19,4
2003,Other Agencies,SECURITIES AND EXCHANGE COMMISSION,Other R&D and Knowledge Based,40.0000,2,1
2003,Other Agencies,Transportation,Air,243131.0000,8,7
2003,State and IAP,State,"Other Facilities, Construction, Manufacturing and Testing",5212488.2800,28,29
2004,Defense,Army,Other R&D and Knowledge Based,5858432.0000,38,32
2004,Defense,Army,Other Services,864001.0000,13,12
2004,Defense,DLA,"Other Facilities, Construction, Manufacturing and Testing",38252874.0000,81,83
2004,Defense,Navy,C4ISR,27152183.0000,197,187
2004,Defense,Navy,Land,9222184.0000,21,19
2004,DHS,COAST GUARD,Sea,1530662.3300,18,17
2004,DHS,TSA,Other Products,1224.0000,1,1
2004,GSA,GSA,Other Products,84741.5300,96,100
2004,HHS,HHS,C4ISR,1402993.1602,18,17
2004,Other Agencies,Agriculture,NULL,38230.8500,8,8
2004,Other Agencies,All other Customers,C4ISR,82250.0000,5,5
2004,Other Agencies,BROADCASTING BOARD OF GOVERNORS,C4ISR,260613.3800,4,2
2004,Other Agencies,Commerce,Other R&D and Knowledge Based,1078207.0600,45,42
2004,Other Agencies,EPA,Other R&D and Knowledge Based,256745.0000,9,11
2004,Other Agencies,EQUAL EMPLOYMENT OPPORTUNITY COMMISSION,NULL,2327.9000,1,1
2004,Other Agencies,Interior,Air,1068717.3900,19,9
2004,Other Agencies,Labor,Other R&D and Knowledge Based,6905435.0000,9,1
2004,Other Agencies,NATIONAL SCIENCE FOUNDATION,Air,0.0000,0,1
2004,Other Agencies,NATIONAL SCIENCE FOUNDATION,"Other Facilities, Construction, Manufacturing and Testing",16592.7000,1,1
2004,Other Agencies,Transportation,Other R&D and Knowledge Based,2575325.0200,12,6
2004,Other Agencies,VA,Other Products,693248.2700,12,14
2003,Defense,Air Force,Other R&D and Knowledge Based,625607.0000,7,7
2003,Defense,Army,C4ISR,43212315.0000,228,186
2003,Defense,Army,Land,68760035.0000,126,101
2003,Defense,DLA,C4ISR,3768692.0000,66,75
2003,Defense,DLA,Land,4767072.0000,74,75
2003,Defense,Navy,Air,66080312.0000,171,166
2003,Defense,Other DoD,Other Products,53974.0000,3,3
2003,Defense,Other DoD,Sea,135200.0000,1,1
2003,DHS,CBP,"Other Facilities, Construction, Manufacturing and Testing",131644.0000,3,4
2003,DHS,COAST GUARD,Air,1268011.0000,13,8
2003,Energy,Energy,"Weapons, Ammunition and Missiles",0.0000,0,1
2003,GSA,GSA,Other R&D and Knowledge Based,118337.0000,5,5
2003,HHS,HHS,NULL,48869060.1500,23,18
2003,NASA,NASA,NULL,22880.2000,2,2
2003,Other Agencies,Agriculture,Other Products,54435.0000,1,1
2003,Other Agencies,Commerce,C4ISR,1137255.0000,14,9
2003,Other Agencies,HUD,Other Products,58000.0000,1,1
2003,Other Agencies,Labor,C4ISR,105654.0000,1,1
